Year,Province name,District number,Election,Registered voters in district,Valid votes in district,Invalid votes in district,Party name,Party number,Party number of votes,"""Province name""",Total Valid votes in district,Invalid votes
2014,Jawa Barat,4,DPR,1969065,1283060,150,Partai Golongan Karya,5,211831,Province name,,
2014,Jawa Barat,4,DPR,1969065,1283060,150,Partai Gerakan Indonesia Raya,6,118565,Province name,,
2014,Jawa Barat,4,DPR,1969065,1283060,150,Partai Demokrat,7,99899,Province name,,
2014,Jawa Barat,4,DPR,1969065,1283060,150,Partai Amanat Nasional,8,175742,Province name,,
2014,Jawa Barat,4,DPR,1969065,1283060,150,Partai Persatuan Pembangunan,9,127217,Province name,,
2014,Jawa Barat,4,DPR,1969065,1283060,150,Partai Hati Nurani Rakyat,10,80901,Province name,,
2014,Jawa Barat,4,DPR,1969065,1283060,150,Partai Bulan Bintang,14,14392,Province name,,
2014,Jawa Barat,4,DPR,1969065,1283060,150,Partai Keadilan dan Persatuan Indonesia,15,7873,Province name,,
2014,Jawa Barat,5,DPR,3231372,2093772,328,"",,,Province name,,
2014,Jawa Barat,5,DPR,3231372,2093772,328,Partai Nasional Demokrat,1,113490,Province name,,
2014,Jawa Barat,5,DPR,3231372,2093772,328,Partai Kebangkitan Bangsa,2,107879,Province name,,
2014,Jawa Barat,5,DPR,3231372,2093772,328,Partai Keadilan Sejahtera,3,148011,Province name,,
2014,Jawa Barat,5,DPR,3231372,2093772,328,Partai Demokrasi Indonesia Perjuangan,4,345307,Province name,,
2014,Jawa Barat,5,DPR,3231372,2093772,328,Partai Golongan Karya,5,377588,Province name,,
2014,Jawa Barat,5,DPR,3231372,2093772,328,Partai Gerakan Indonesia Raya,6,319846,Province name,,
2014,Jawa Barat,5,DPR,3231372,2093772,328,Partai Demokrat,7,164422,Province name,,
2014,Jawa Barat,5,DPR,3231372,2093772,328,Partai Amanat Nasional,8,115933,Province name,,
2014,Jawa Barat,5,DPR,3231372,2093772,328,Partai Persatuan Pembangunan,9,249578,Province name,,
2014,Jawa Barat,5,DPR,3231372,2093772,328,Partai Hati Nurani Rakyat,10,109489,Province name,,
2014,Jawa Barat,5,DPR,3231372,2093772,328,Partai Bulan Bintang,14,34918,Province name,,
2014,Jawa Barat,5,DPR,3231372,2093772,328,Partai Keadilan dan Persatuan Indonesia,15,7311,Province name,,
2014,Jawa Barat,6,DPR,2964216,1799370,174,"",,,Province name,,
2014,Jawa Barat,6,DPR,2964216,1799370,174,Partai Nasional Demokrat,1,50203,Province name,,
2014,Jawa Barat,6,DPR,2964216,1799370,174,Partai Kebangkitan Bangsa,2,78897,Province name,,
2014,Jawa Barat,6,DPR,2964216,1799370,174,Partai Keadilan Sejahtera,3,233738,Province name,,
2014,Jawa Barat,6,DPR,2964216,1799370,174,Partai Demokrasi Indonesia Perjuangan,4,433127,Province name,,
2014,Jawa Barat,6,DPR,2964216,1799370,174,Partai Golongan Karya,5,209513,Province name,,
2014,Jawa Barat,6,DPR,2964216,1799370,174,Partai Gerakan Indonesia Raya,6,283126,Province name,,
2014,Jawa Barat,6,DPR,2964216,1799370,174,Partai Demokrat,7,121262,Province name,,
2014,Jawa Barat,6,DPR,2964216,1799370,174,Partai Amanat Nasional,8,126457,Province name,,
2014,Jawa Barat,6,DPR,2964216,1799370,174,Partai Persatuan Pembangunan,9,112758,Province name,,
2014,Jawa Barat,6,DPR,2964216,1799370,174,Partai Hati Nurani Rakyat,10,113633,Province name,,
2014,Jawa Barat,6,DPR,2964216,1799370,174,Partai Bulan Bintang,14,24932,Province name,,
2014,Jawa Barat,6,DPR,2964216,1799370,174,Partai Keadilan dan Persatuan Indonesia,15,11724,Province name,,
2014,Jawa Barat,7,DPR,4335139,2762436,404,"",,,Province name,,
2014,Jawa Barat,7,DPR,4335139,2762436,404,Partai Nasional Demokrat,1,125620,Province name,,
2014,Jawa Barat,7,DPR,4335139,2762436,404,Partai Kebangkitan Bangsa,2,162383,Province name,,
2014,Jawa Barat,7,DPR,4335139,2762436,404,Partai Keadilan Sejahtera,3,234477,Province name,,
2014,Jawa Barat,7,DPR,4335139,2762436,404,Partai Demokrasi Indonesia Perjuangan,4,608658,Province name,,
2014,Jawa Barat,7,DPR,4335139,2762436,404,Partai Golongan Karya,5,539911,Province name,,
2014,Jawa Barat,7,DPR,4335139,2762436,404,Partai Gerakan Indonesia Raya,6,373811,Province name,,
2014,Jawa Barat,7,DPR,4335139,2762436,404,Partai Demokrat,7,206295,Province name,,
2014,Jawa Barat,7,DPR,4335139,2762436,404,Partai Amanat Nasional,8,154557,Province name,,
2014,Jawa Barat,7,DPR,4335139,2762436,404,Partai Persatuan Pembangunan,9,160208,Province name,,
2014,Jawa Barat,7,DPR,4335139,2762436,404,Partai Hati Nurani Rakyat,10,135598,Province name,,
